iter	Passed	Remaining
0	246	246450
1	309	154261
2	357	118734
3	401	99956
4	461	91773
5	529	87730
6	585	83044
7	634	78653
8	673	74175
9	703	69660
10	739	66499
11	775	63854
12	816	61962
13	916	64527
14	963	63273
15	1007	61982
16	1049	60691
17	1093	59674
18	1132	58491
19	1171	57390
20	1191	55551
21	1236	54983
22	1294	55004
23	1360	55313
24	1412	55104
25	1494	55974
26	1543	55634
27	1568	54443
28	1620	54250
29	1675	54161
30	1720	53764
31	1767	53467
32	1812	53106
33	1856	52748
34	1873	51661
35	1918	51371
36	1965	51145
37	2015	51013
38	2057	50710
39	2100	50414
40	2140	50062
41	2179	49705
42	2222	49474
43	2270	49337
44	2307	48959
45	2350	48755
46	2396	48594
47	2445	48502
48	2491	48347
49	2525	47991
50	2564	47712
51	2604	47484
52	2646	47296
53	2689	47108
54	2731	46926
55	2774	46765
56	2820	46664
57	2865	46535
58	2905	46347
59	2946	46165
60	2989	46012
61	3025	45769
62	3065	45589
63	3105	45419
64	3149	45305
65	3195	45226
66	3239	45109
67	3281	44970
68	3319	44790
69	3356	44595
70	3383	44272
71	3432	44238
72	3481	44206
73	3530	44177
74	3579	44146
75	3598	43745
76	3646	43707
77	3699	43731
78	3750	43725
79	3797	43667
80	3833	43491
81	3878	43425
82	3927	43391
83	3976	43365
84	4026	43338
85	4068	43242
86	4117	43209
87	4163	43153
88	4212	43121
89	4257	43044
90	4296	42922
91	4344	42874
92	4382	42745
93	4417	42573
94	4455	42444
95	4493	42314
96	4533	42207
97	4547	41857
98	4574	41637
99	4645	41808
100	4687	41720
101	4727	41624
102	4788	41700
103	4798	41341
104	4818	41071
105	4852	40926
106	4897	40873
107	4948	40873
108	4964	40583
109	5007	40519
110	5048	40433
111	5088	40344
112	5110	40117
113	5163	40132
114	5221	40183
115	5273	40185
116	5321	40163
117	5331	39852
118	5383	39857
119	5435	39862
120	5480	39814
121	5497	39566
122	5551	39582
123	5595	39529
124	5637	39460
125	5683	39421
126	5740	39457
127	5787	39428
128	5861	39578
129	5890	39419
130	5941	39411
131	5993	39411
132	6022	39258
133	6040	39040
134	6085	38992
135	6125	38917
136	6136	38657
137	6148	38405
138	6192	38360
139	6235	38300
140	6283	38279
141	6323	38210
142	6342	38013
143	6382	37941
144	6420	37857
145	6466	37825
146	6535	37922
147	6590	37937
148	6663	38057
149	6672	37812
150	6711	37733
151	6747	37646
152	6784	37556
153	6823	37486
154	6863	37415
155	6912	37396
156	6956	37350
157	7002	37316
158	7022	37145
159	7041	36965
160	7092	36962
161	7138	36926
